title,genre,tags
Inception,Sci-Fi,"dream heist subconscious thief corporate espionage mind-bending layered reality architect extraction"
Interstellar,Sci-Fi,"space travel wormhole time dilation black hole survival farmer astronaut relativity love saves"
The Prestige,Drama,"magician rivalry obsession illusion twin duplicate sacrifice Victorian era trick"
Tenet,Sci-Fi,"time inversion espionage secret agent global stakes temporal pincer movement algorithm"
Shutter Island,Thriller,"asylum detective conspiracy psychological twist marshal island investigation memory"
The Dark Knight,Action,"batman joker gotham vigilante crime chaos moral dilemma superhero"
The Matrix,Sci-Fi,"simulation hacker chosen one dystopia machines red pill reality rebellion"
Memento,Thriller,"amnesia revenge investigation short-term memory tattoo backwards narrative"
Fight Club,Drama,"insomnia underground club anarchy identity consumerism split personality rebellion"
Se7en,Thriller,"serial killer detective sins investigation dark twisted city crime"
The Shawshank Redemption,Drama,"prison friendship hope redemption wrongful conviction escape banker"
Pulp Fiction,Drama,"crime nonlinear hitmen boxer gangster dialogue redemption Los Angeles"
The Godfather,Drama,"mafia family crime power succession loyalty organized crime patriarch"
Goodfellas,Drama,"mafia gangster rise fall crime loyalty betrayal narration organized crime"
The Hangover,Comedy,"bachelor party Las Vegas amnesia friends chaos wedding search"
Superbad,Comedy,"high school friendship party coming of age awkward teenagers"
Bridesmaids,Comedy,"wedding friendship rivalry maid of honor comedic chaos"
Step Brothers,Comedy,"stepbrothers rivalry friendship immature adults comedic chaos"
The Conjuring,Horror,"haunted house demonic possession paranormal investigators family"
Hereditary,Horror,"family curse grief cult supernatural possession trauma"
A Quiet Place,Horror,"silence monsters survival family post-apocalyptic sound"
Get Out,Horror,"social thriller hypnosis race horror mystery family secrets"
It,Horror,"clown children fear small town supernatural friendship group"
The Notebook,Romance,"love story letters memory class differences enduring romance"
La La Land,Romance,"musician actress Los Angeles dreams romance jazz musical"
Titanic,Romance,"ship disaster love story class differences tragedy historic voyage"
Pride and Prejudice,Romance,"regency England romance class social expectations sisters marriage"
Toy Story,Animation,"toys friendship adventure childhood imagination rescue"
Finding Nemo,Animation,"fish father son ocean adventure search family"
Up,Animation,"balloons house adventure friendship elderly grief journey"
Zootopia,Animation,"animals city mystery detective prejudice friendship"
Coco,Animation,"family music afterlife tradition Mexico grief memory"
Mad Max Fury Road,Action,"post-apocalyptic wasteland chase survival rebellion desert war"
John Wick,Action,"assassin revenge criminal underworld dog gun-fu retired hitman"
Die Hard,Action,"hostage skyscraper terrorist cop Christmas rescue"
Gladiator,Action,"Rome arena revenge betrayal general slave empire"
The Departed,Thriller,"undercover cop mole mafia Boston betrayal identity crime"
Gone Girl,Thriller,"marriage disappearance media manipulation psychological twist"
Parasite,Thriller,"class divide family scheme wealth deception social commentary"
Whiplash,Drama,"music drummer mentor ambition obsession jazz conservatory"
